,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
221,Ce1Sn3,"CUB
",221,108.407,7.60043,[ 4.768184  4.768184  4.768184 90.       90.       90.      ],,4,-4.13696,0.000107155,1.46695,16,[23.7277 28.182  28.7962 27.6437],[ 1.1719 -0.3898 -0.4526 -0.3294]
222,C2Pr1,"BCT
",139,48.3978,5.65878,[  4.245836   4.245836   4.245836 125.9821   125.9821    79.91759 ],,3,-8.0518,8.31467e-05,1.82563,13,[14.1926 14.6517 19.5535],[-0.7401 -0.9999  1.7399]
223,Al1Y3,"CUB
",221,109.088,4.47071,[ 4.778135  4.778135  4.778135 90.       90.       90.      ],-0.751055,4,-5.97091,2.0175e-06,2.72541,12,[37.0761 24.1356 23.3908 24.4748],[-1.8818  0.6112  0.6946  0.576 ]
224,In1Zr3,"CUB
",221,89.3185,7.22232,[ 4.470065  4.470065  4.470065 90.       90.       90.      ],,4,-7.30907,0.000163443,1.65007,15,[27.3979 20.8022 20.4755 20.643 ],[-1.2628  0.3932  0.4494  0.4202]
225,Pd1,"FCC
",225,15.2509,11.585,[ 2.783576  2.783576  2.783576 60.       60.       60.      ],,1,-2.62832,-0.00055027,1.00401,10,[15.2509],[0.]
226,H2Ti1,"BCT
",139,22.5398,3.67737,[  3.125553   3.125553   3.125553 116.7079   116.7079    95.80335 ],,3,-4.29699,6.72733e-05,3.24903,6,[ 6.0165  6.0098 10.5136],[-0.7295 -0.7287  1.4582]
227,Be17Ta2,"RHL
",166,168.662,5.07139,[ 5.56254  5.56254  5.56254 83.10948 83.10948 83.10948],,19,-4.58953,8.32684e-05,1.83268,44,"[ 7.3471  7.1502 12.6552 12.6552 12.6552  7.2203  7.2222  7.0609  7.2203
  7.2241  7.3855  6.6469  6.7343  6.6469  6.6479  6.6479  6.5605 16.4901
 16.4911]","[ 0.2127  0.2611 -1.4395 -1.4395 -1.4395  0.1236  0.1231  0.167   0.1236
  0.1225  0.0786  0.3003  0.277   0.3003  0.3002  0.3002  0.3235  0.6525
  0.6523]"
228,S2W1,"RHL
",160,60.9106,6.76014,[ 7.101577  7.101577  7.101577 26.06425  26.06425  26.06425 ],,3,-7.07341,3.16067e-05,1.31036,18,[23.4167 23.4909 14.003 ],[-0.6586 -0.652   1.3106]
229,C1V1,"FCC
",225,18.407,5.67908,[ 2.963692  2.963692  2.963692 60.       60.       60.      ],,2,-8.16464,-0.00020642,2.1979,9,[10.6134  7.7936],[-1.5616  1.5617]
230,C2Ce1,"BCT
",139,43.9726,6.1985,[  4.104646   4.104646   4.104646 125.7297   125.7297    80.33282 ],,3,-7.5165,6.792e-05,1.71231,12,[12.947  12.5641 18.4615],[-1.0209 -0.7871  1.808 ]
231,C1Th1,"FCC
",225,41.1359,9.85158,[ 3.874764  3.874764  3.874764 60.       60.       60.      ],,2,-7.90469,0.000324015,-0.000166603,8,[18.136  22.9999],[-1.8508  1.8508]
232,Nb1S1,"HEX
",187,31.6807,6.55009,[  3.309908   3.3099     3.339135  90.        90.       120.0001  ],,2,-7.17943,-0.00015282,1.81065,11,[14.3937 17.287 ],[ 1.2064 -1.2064]
233,Fe1Ti1,"CUB
",221,27.0032,6.37984,[ 3.000119  3.000119  3.000119 90.       90.       90.      ],,2,-4.68985,-6.0805e-05,1.93899,12,[17.2478  9.7554],[-1.4388  1.4387]
