,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
48,Hg1Mg1,"CUB
",221,42.6851,8.74888,[ 3.494826  3.494826  3.494826 90.       90.       90.      ],-0.439684,2,-1.16682,-4.0185e-05,0.862431,14,[34.7611  7.924 ],[-1.4442  1.4442]
49,Au5Ba1,"HEX
",191,135.907,13.7108,[  5.835885   5.835905   4.607825  90.        90.       119.9999  ],,6,-1.83148,-0.000127387,0.558576,57,[21.1308 21.1883 22.7884 22.7382 22.0599 26.0017],[-0.2865 -0.2931 -0.3061 -0.3012 -0.2148  1.4018]
50,Ir5La1,"HEX
",191,106.805,17.1022,[  5.352734   5.352734   4.304218  90.        90.       119.9964  ],,6,-6.04669,-0.000289967,0.458824,48,[16.5783 16.5875 18.0442 18.3507 17.8427 19.4016],[-0.2962 -0.2983 -0.3602 -0.4247 -0.2897  1.669 ]
51,B6La1,"CUB
",221,72.4373,4.67108,[ 4.168574  4.168574  4.168574 90.       90.       90.      ],,7,-6.92564,-0.000248299,2.40175,21,[ 8.4587  8.9742  9.2955  8.78    8.6744  8.1593 20.0953],[-0.217  -0.356  -0.4714 -0.3324 -0.2511 -0.1123  1.7402]
52,Au1Ga40Mo8,"RHL
",148,869.948,7.1655,[ 9.579694  9.579694  9.579694 94.65058  94.65058  94.65058 ],,49,-3.45338,-0.000185466,1.67681,179,"[24.798  20.4104 16.8691 16.8691 16.8691 17.2858 17.2858 17.2858 17.2858
 17.2858 17.2858 17.2301 17.2301 17.2301 17.2301 17.2301 17.2301 17.7951
 17.7953 17.7951 17.7953 17.7951 17.7951 18.034  18.034  18.034  18.034
 18.034  18.0342 17.8611 17.8611 17.8611 17.8611 17.8611 17.8611 18.2233
 18.2233 18.2233 18.2233 18.2233 18.2233 17.0549 17.0549 16.9077 16.9077
 16.9077 16.9077 16.9077 16.9077]","[-0.6883 -0.3884 -0.0288 -0.0288 -0.0288  0.0411  0.0411  0.0411  0.0411
  0.0411  0.0411  0.0494  0.0494  0.0494  0.0494  0.0494  0.0494 -0.0018
 -0.0018 -0.0018 -0.0018 -0.0018 -0.0018  0.001   0.001   0.001   0.001
  0.001   0.001   0.0876  0.0876  0.0876  0.0876  0.0876  0.0876 -0.0118
 -0.0118 -0.0118 -0.0118 -0.0118 -0.0118  0.0773  0.0773  0.0026  0.0026
  0.0026  0.0026  0.0026  0.0026]"
53,Au2In1Y1,"FCC
",225,84.8989,11.6896,[ 4.933317  4.933317  4.933317 60.       60.       60.      ],,4,-3.59028,-0.000334363,0.72052,28,[24.3492 24.3707 20.8693 15.3098],[-0.9586 -0.961   0.2409  1.6787]
54,B12Y1,"FCC
",225,105.356,3.44582,[ 5.301408  5.301408  5.301408 60.       60.       60.      ],-83.4873,13,-6.91926,-6.70731e-05,3.60061,39,"[ 7.736   7.841   7.7039  7.9169  7.6054  7.5008  7.9733  7.7327  7.6834
  7.6054  7.7327  7.7126 12.6116]","[-0.1573 -0.1837 -0.1391 -0.1999 -0.115  -0.0769 -0.2262 -0.1416 -0.1378
 -0.115  -0.1416 -0.1425  1.7766]"
55,La1Rh2Si2,"BCT
",139,88.2393,7.54414,[  5.941022   5.941022   5.941022 139.3232   139.3232    58.88238 ],,5,-5.7511,-4.518e-06,1.49667,29,[20.5518 18.6796 18.7015 14.9285 15.3779],[ 1.5083 -0.8844 -0.889   0.1734  0.0918]
56,In3La1,"CUB
",221,109.167,7.35244,[ 4.779302  4.779302  4.779302 90.       90.       90.      ],,4,-3.60793,-1.6135e-05,1.5198,12,[28.9783 27.2421 27.7015 25.2456],[-0.4532 -0.2788 -0.322   1.0541]
57,Au1In2,"FCC
",225,73.4252,9.64788,[ 4.700239  4.700239  4.700239 60.       60.       60.      ],,3,-2.36786,-0.000138277,0.941469,17,[25.9775 23.7056 23.7421],[-0.885   0.4441  0.4409]
